[2026-03-19 21:00:04] Starting overnight autoresearch for SPY
[2026-03-19 21:00:04] Results directory: autoresearch_results/spy_20260320
[2026-03-19 21:00:04] Experiment timeout: 60s
[2026-03-19 21:00:04] Slippage: 0.01%
[2026-03-19 21:00:09] Total parameter combinations to test: 632
[2026-03-19 21:00:09] Starting EMA Crossover sweep (49 combos)...
[2026-03-19 21:01:41] Experiment 166/632 | MACD (fast=16, slow=30, signal=7) | train=1.1622 test=0.1619 | ❌
[2026-03-19 21:01:41] Experiment 167/632 | MACD (fast=16, slow=30, signal=9) | train=0.9798 test=N/A | ❌
[2026-03-19 21:01:42] Experiment 168/632 | MACD (fast=16, slow=30, signal=11) | train=0.9712 test=N/A | ❌
[2026-03-19 21:01:43] Experiment 169/632 | MACD (fast=16, slow=30, signal=13) | train=0.9429 test=N/A | ❌
[2026-03-19 21:01:44] Experiment 170/632 | MACD (fast=16, slow=35, signal=5) | train=1.0284 test=N/A | ❌
[2026-03-19 21:01:44] Experiment 171/632 | MACD (fast=16, slow=35, signal=7) | train=1.2049 test=0.1229 | ❌
[2026-03-19 21:01:45] Experiment 172/632 | MACD (fast=16, slow=35, signal=9) | train=0.9483 test=N/A | ❌
[2026-03-19 21:01:46] Experiment 173/632 | MACD (fast=16, slow=35, signal=11) | train=0.9231 test=N/A | ❌
[2026-03-19 21:01:47] Experiment 174/632 | MACD (fast=16, slow=35, signal=13) | train=0.9264 test=N/A | ❌
[2026-03-19 21:01:47] Completed MACD sweep
[2026-03-19 21:01:47] Starting RSI Mean Reversion sweep (100 combos)...
[2026-03-19 21:01:48] Experiment 175/632 | RSI Mean Reversion (period=7, oversold=15, overbought=65) | train=-0.0186 test=N/A | ❌
[2026-03-19 21:01:50] Experiment 176/632 | RSI Mean Reversion (period=7, oversold=15, overbought=70) | train=0.0217 test=N/A | ❌
[2026-03-19 21:01:52] Experiment 177/632 | RSI Mean Reversion (period=7, oversold=15, overbought=75) | train=0.1191 test=N/A | ❌
[2026-03-19 21:01:53] Experiment 178/632 | RSI Mean Reversion (period=7, oversold=15, overbought=80) | train=0.0869 test=N/A | ❌
[2026-03-19 21:01:55] Experiment 179/632 | RSI Mean Reversion (period=7, oversold=15, overbought=85) | train=0.1548 test=N/A | ❌
[2026-03-19 21:01:57] Experiment 180/632 | RSI Mean Reversion (period=7, oversold=20, overbought=65) | train=0.0867 test=N/A | ❌
[2026-03-19 21:01:58] Experiment 181/632 | RSI Mean Reversion (period=7, oversold=20, overbought=70) | train=0.1370 test=N/A | ❌
[2026-03-19 21:02:00] Experiment 182/632 | RSI Mean Reversion (period=7, oversold=20, overbought=75) | train=0.2474 test=N/A | ❌
[2026-03-19 21:02:01] Experiment 183/632 | RSI Mean Reversion (period=7, oversold=20, overbought=80) | train=0.2466 test=N/A | ❌
[2026-03-19 21:02:03] Experiment 184/632 | RSI Mean Reversion (period=7, oversold=20, overbought=85) | train=0.3214 test=N/A | ❌
[2026-03-19 21:02:05] Experiment 185/632 | RSI Mean Reversion (period=7, oversold=25, overbought=65) | train=0.1475 test=N/A | ❌
[2026-03-19 21:02:06] Experiment 186/632 | RSI Mean Reversion (period=7, oversold=25, overbought=70) | train=0.1725 test=N/A | ❌
[2026-03-19 21:02:08] Experiment 187/632 | RSI Mean Reversion (period=7, oversold=25, overbought=75) | train=0.2749 test=N/A | ❌
[2026-03-19 21:02:10] Experiment 188/632 | RSI Mean Reversion (period=7, oversold=25, overbought=80) | train=0.3172 test=N/A | ❌
[2026-03-19 21:02:11] Experiment 189/632 | RSI Mean Reversion (period=7, oversold=25, overbought=85) | train=0.3571 test=N/A | ❌
[2026-03-19 21:02:13] Experiment 190/632 | RSI Mean Reversion (period=7, oversold=30, overbought=65) | train=0.2311 test=N/A | ❌
[2026-03-19 21:02:15] Experiment 191/632 | RSI Mean Reversion (period=7, oversold=30, overbought=70) | train=0.2543 test=N/A | ❌
[2026-03-19 21:02:16] Experiment 192/632 | RSI Mean Reversion (period=7, oversold=30, overbought=75) | train=0.3325 test=N/A | ❌
[2026-03-19 21:02:18] Experiment 193/632 | RSI Mean Reversion (period=7, oversold=30, overbought=80) | train=0.3132 test=N/A | ❌
[2026-03-19 21:02:20] Experiment 194/632 | RSI Mean Reversion (period=7, oversold=30, overbought=85) | train=0.3847 test=N/A | ❌
[2026-03-19 21:02:21] Experiment 195/632 | RSI Mean Reversion (period=7, oversold=35, overbought=65) | train=0.2963 test=N/A | ❌
[2026-03-19 21:02:23] Experiment 196/632 | RSI Mean Reversion (period=7, oversold=35, overbought=70) | train=0.3181 test=N/A | ❌
[2026-03-19 21:02:25] Experiment 197/632 | RSI Mean Reversion (period=7, oversold=35, overbought=75) | train=0.3973 test=N/A | ❌
[2026-03-19 21:02:26] Experiment 198/632 | RSI Mean Reversion (period=7, oversold=35, overbought=80) | train=0.3928 test=N/A | ❌
[2026-03-19 21:02:28] Experiment 199/632 | RSI Mean Reversion (period=7, oversold=35, overbought=85) | train=0.4285 test=N/A | ❌
[2026-03-19 21:02:30] Experiment 200/632 | RSI Mean Reversion (period=10, oversold=15, overbought=65) | train=0.0966 test=N/A | ❌
[2026-03-19 21:02:32] Experiment 201/632 | RSI Mean Reversion (period=10, oversold=15, overbought=70) | train=0.1549 test=N/A | ❌
[2026-03-19 21:02:34] Experiment 202/632 | RSI Mean Reversion (period=10, oversold=15, overbought=75) | train=0.2310 test=N/A | ❌
[2026-03-19 21:02:36] Experiment 203/632 | RSI Mean Reversion (period=10, oversold=15, overbought=80) | train=0.2033 test=N/A | ❌
[2026-03-19 21:02:38] Experiment 204/632 | RSI Mean Reversion (period=10, oversold=15, overbought=85) | train=0.3055 test=N/A | ❌
[2026-03-19 21:02:40] Experiment 205/632 | RSI Mean Reversion (period=10, oversold=20, overbought=65) | train=0.2843 test=N/A | ❌
[2026-03-19 21:02:42] Experiment 206/632 | RSI Mean Reversion (period=10, oversold=20, overbought=70) | train=0.3360 test=N/A | ❌
[2026-03-19 21:02:44] Experiment 207/632 | RSI Mean Reversion (period=10, oversold=20, overbought=75) | train=0.4069 test=N/A | ❌
[2026-03-19 21:02:46] Experiment 208/632 | RSI Mean Reversion (period=10, oversold=20, overbought=80) | train=0.4405 test=N/A | ❌
[2026-03-19 21:02:47] Experiment 209/632 | RSI Mean Reversion (period=10, oversold=20, overbought=85) | train=0.6284 test=N/A | ❌
[2026-03-19 21:02:49] Experiment 210/632 | RSI Mean Reversion (period=10, oversold=25, overbought=65) | train=0.3206 test=N/A | ❌
[2026-03-19 21:02:51] Experiment 211/632 | RSI Mean Reversion (period=10, oversold=25, overbought=70) | train=0.3661 test=N/A | ❌
[2026-03-19 21:02:53] Experiment 212/632 | RSI Mean Reversion (period=10, oversold=25, overbought=75) | train=0.4491 test=N/A | ❌
[2026-03-19 21:02:55] Experiment 213/632 | RSI Mean Reversion (period=10, oversold=25, overbought=80) | train=0.4822 test=N/A | ❌
